player_display_name,recent_team,attempts,completions,passing_yards,passing_tds,passing_interceptions,passing_epa,completion_pct,yards_per_attempt,epa_per_attempt
Aaron Rodgers,PIT,498,327,3322,24,7,28.324585814416768,65.66265060240963,6.670682730923695,0.05687667834220234
Joe Flacco,CIN,416,251,2479,15,10,-40.87212521742496,60.33653846153846,5.959134615384615,-0.09825030100342538
Matthew Stafford,LA,597,388,4707,46,8,150.45430748211436,64.99162479061977,7.884422110552764,0.25201726546417813
Kirk Cousins,ATL,269,166,1721,10,5,-0.9307982777623006,61.71003717472119,6.397769516728625,-0.003460216645956508
Geno Smith,LV,448,302,3025,19,17,-72.92140604885863,67.41071428571429,6.752232142857143,-0.16277099564477374
Marcus Mariota,WAS,227,139,1695,10,7,-3.8985720439669813,61.23348017621145,7.466960352422907,-0.01717432618487657
Dak Prescott,DAL,600,404,4552,30,10,114.34943320495893,67.33333333333333,7.586666666666667,0.19058238867493155
Jared Goff,DET,578,393,4564,34,8,106.46015123964267,67.99307958477509,7.896193771626297,0.18418711287135411
Jacoby Brissett,ARI,485,315,3366,23,8,-3.215431342855446,64.94845360824742,6.9402061855670105,-0.006629755346093703
Patrick Mahomes,KC,502,315,3587,22,11,68.24694077617175,62.74900398406375,7.145418326693227,0.13595008122743377
Lamar Jackson,BAL,302,192,2549,21,7,18.157022170954196,63.576158940397356,8.440397350993377,0.060122589970047005
Baker Mayfield,TB,543,343,3693,26,11,0.6775508272753218,63.16758747697975,6.801104972375691,0.0012477915787759148
Josh Allen,BUF,460,319,3668,25,10,71.32633645753506,69.34782608695652,7.973913043478261,0.15505725316855448
Sam Darnold,SEA,477,323,4048,25,14,74.57746712718989,67.71488469601678,8.48637316561845,0.15634689125197043
Daniel Jones,IND,384,261,3101,19,8,65.25551499758664,67.96875,8.075520833333334,0.16993623697288188
Tua Tagovailoa,MIA,384,260,2660,20,15,14.395063419654823,67.70833333333334,6.927083333333333,0.03748714432201777
Jordan Love,GB,439,291,3381,23,6,110.6112878329032,66.2870159453303,7.7015945330296125,0.25196193128223965
Justin Herbert,LAC,512,340,3727,26,13,16.114613501478505,66.40625,7.279296875,0.031473854495075206
Jalen Hurts,PHI,454,294,3224,25,6,34.31444327657869,64.75770925110133,7.101321585903084,0.0755824741774861
Joe Burrow,CIN,259,173,1809,17,5,36.60709334252305,66.79536679536679,6.984555984555985,0.14134012873561022
Justin Fields,NYJ,204,128,1259,7,1,-22.451623025007635,62.745098039215684,6.171568627450981,-0.11005697561278252
Trevor Lawrence,JAX,560,341,4007,29,12,38.409721436388125,60.89285714285714,7.1553571428571425,0.06858878827926451
Mac Jones,SF,289,201,2151,13,6,44.685120740480464,69.55017301038062,7.442906574394463,0.1546197949497594
Brock Purdy,SF,284,197,2167,20,10,63.129939116820545,69.36619718309859,7.630281690140845,0.22228851801697375
Bryce Young,CAR,478,304,3011,23,11,-21.972916407197374,63.59832635983263,6.299163179916318,-0.045968444366521706
C.J. Stroud,HOU,423,273,3041,19,8,47.66119819357807,64.53900709219859,7.1891252955082745,0.112674227407986
Spencer Rattler,NO,257,174,1586,8,5,-21.49794801793607,67.70428015564202,6.171206225680934,-0.08364960318263062
Bo Nix,DEN,612,388,3931,25,11,63.32275760694129,63.39869281045751,6.423202614379085,0.10346855818127661
Drake Maye,NE,492,354,4394,31,8,166.21454195610798,71.95121951219512,8.93089430894309,0.33783443487013814
Michael Penix Jr.,ATL,276,166,1982,9,3,5.139894674856957,60.14492753623188,7.181159420289855,0.018622806792959988
Caleb Williams,CHI,568,330,3942,27,7,42.217395757990325,58.098591549295776,6.940140845070423,0.07432640098237733
J.J. McCarthy,MIN,243,140,1632,11,12,-54.1059147833337,57.61316872427984,6.716049382716049,-0.22265808552812222
Shedeur Sanders,CLE,212,120,1400,7,10,-59.30007444472816,56.60377358490566,6.60377358490566,-0.27971733228645357
Cam Ward,TEN,540,323,3169,15,7,-109.09375108860479,59.81481481481481,5.868518518518519,-0.20202546497889776
Jaxson Dart,NYG,339,216,2272,15,5,3.419432253789569,63.716814159292035,6.702064896755163,0.010086820807638846
Tyler Shough,NO,327,221,2384,10,6,2.0599389443211926,67.58409785932722,7.290519877675841,0.006299507474988357
